title	year	avg_rating	#votes	genres	runtime_min	id
The Prisoner of Zenda	1922	6.7	429	Adventure,Romance	125	0013515
Robin Hood	1922	7.2	1898	Adventure,Family,Romance	143	0013556
Salomé	1922	6.6	769	Biography,Drama,History	72	0013571
Warning Shadows	1923	6.8	797	Drama,Fantasy,Horror	90	0013579
Shadows	1922	6.3	348	Drama	70	0013592
Tess of the Storm Country	1922	6.9	398	Drama,Romance	137	0013662
The Faithful Heart	1923	7.6	1027	Drama,Romance	87	0013933
The Saga of Gösta Berling	1924	7.1	1033	Drama,Romance	183	0014109
The Hunchback of Notre Dame	1923	7.3	4515	Drama,Horror,Romance	133	0014142
Safety Last!	1923	8.1	16951	Action,Comedy,Thriller	74	0014429
Scaramouche	1923	7.0	483	Drama,Romance	124	0014440
The Shock	1923	6.5	356	Drama	96	0014463
Souls for Sale	1923	7.0	785	Comedy,Drama,Romance	90	0014497
The Ten Commandments	1923	6.8	1792	Biography,Drama,Fantasy	136	0014532
The White Sister	1923	6.9	374	Drama,Romance	143	0014605
A Woman of Paris: A Drama of Fate	1923	7.0	4467	Drama,Romance	82	0014624
Aelita: Queen of Mars	1924	6.5	2206	Adventure,Drama,Fantasy	111	0014646
Beau Brummel	1924	6.7	394	Drama,History,Romance	135	0014702
Conductor 1492	1924	6.5	39	Comedy	70	0014797
The Enchanted Cottage	1924	6.4	597	Drama	70	0014869
Whirlpool of Fate	1925	6.9	515	Drama,Romance	71	0014898
Girl Shy	1924	7.7	2928	Comedy,Romance	87	0014945
He Who Gets Slapped	1924	7.8	2804	Drama,Romance,Thriller	95	0014972
The Iron Horse	1924	7.2	1817	History,Romance,Western	150	0015016
Isn't Life Wonderful	1924	6.9	270	Drama,Romance	115	0015018
The Last Laugh	1924	8.1	11500	Drama	77	0015064
The Marriage Circle	1924	7.2	1011	Comedy	85	0015119
Michael	1924	7.1	1472	Drama,Romance	93	0015136
The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks	1924	6.6	835	Comedy	94	0015167
Die Nibelungen: Kriemhild's Revenge	1924	8.0	3680	Adventure,Drama,Fantasy	129	0015174
Die Nibelungen: Siegfried	1924	8.1	4837	Adventure,Drama,Fantasy	143	0015175
The Hands of Orlac	1924	7.0	2037	Crime,Horror,Mystery	92	0015202
Peter Pan	1924	7.1	818	Adventure,Family,Fantasy	105	0015224
The Red Lily	1924	7.1	400	Drama	81	0015268
The Sea Hawk	1924	7.0	437	Adventure,Drama,Romance	123	0015310
Strike	1925	7.6	6509	Drama	82	0015361
The Thief of Bagdad	1924	7.8	5190	Adventure,Family,Fantasy	155	0015400
Wild Oranges	1924	6.8	418	Drama,Romance	88	0015498
The Adventures of Prince Achmed	1926	7.8	4947	Adventure,Animation,Fantasy	81	0015532
The Big Parade	1925	7.9	5880	Drama,Romance,War	151	0015624
Body and Soul	1925	6.2	645	Drama	102	0015634
Battleship Potemkin	1925	8.0	49696	Drama,History,Thriller	75	0015648
The Circle	1925	6.3	483	Drama	71	0015684
Cobra	1925	6.4	664	Drama,Romance	70	0015693
Don Q Son of Zorro	1925	7.0	386	Adventure,Romance	111	0015758
Master of the House	1925	7.1	1594	Drama	111	0015768
The Eagle	1925	6.6	1611	Action,Comedy,Drama	73	0015772
The Freshman	1925	7.5	4714	Comedy,Family,Romance	77	0015841
The Joyless Street	1925	7.2	1307	Drama	125	0015842
The Gold Rush	1925	8.2	92919	Adventure,Comedy,Drama	95	0015864
