title	year	avg_rating	#votes	genres	runtime_min	id
Ace Ventura: When Nature Calls	1995	6.4	193228	Adventure,Comedy,Crime	90	0112281
The Addiction	1995	6.4	8287	Horror	82	0112288
The American President	1995	6.8	49344	Comedy,Drama,Romance	114	0112346
Apollo 13	1995	7.6	253492	Adventure,Drama,History	140	0112384
Assassins	1995	6.3	74490	Action,Crime,Thriller	132	0112401
Babe	1995	6.7	111756	Comedy,Drama,Family	91	0112431
Bad Boys	1995	6.9	217096	Action,Comedy,Crime	119	0112442
Balto	1995	7.1	37729	Adventure,Animation,Drama	78	0112453
The Basketball Diaries	1995	7.3	96880	Biography,Crime,Drama	102	0112461
Batman Forever	1995	5.4	226090	Action,Adventure,Fantasy	121	0112462
Before Sunrise	1995	8.1	248078	Drama,Romance	101	0112471
Billy Madison	1995	6.4	124656	Comedy	89	0112508
Blue in the Face	1995	6.7	8694	Comedy	83	0112541
Bombay	1995	8.1	10474	Drama,Musical,Romance	141	0112553
Boys on the Side	1995	6.5	11351	Comedy,Drama	115	0112571
The Brady Bunch Movie	1995	6.0	19822	Comedy	90	0112572
Braveheart	1995	8.3	916167	Biography,Drama,History	178	0112573
The Bridges of Madison County	1995	7.6	67832	Drama,Romance	135	0112579
Candyman: Farewell to the Flesh	1995	5.3	9517	Horror,Thriller	95	0112625
Casino	1995	8.2	432378	Crime,Drama	178	0112641
Casper	1995	6.1	112212	Comedy,Family,Fantasy	100	0112642
The City of Lost Children	1995	7.6	62587	Fantasy,Sci-Fi	112	0112682
Clockers	1995	6.9	19428	Crime,Drama,Mystery	128	0112688
Clueless	1995	6.8	163810	Comedy,Romance	97	0112697
Congo	1995	5.2	40354	Action,Adventure,Mystery	109	0112715
Copycat	1995	6.6	51342	Drama,Mystery,Thriller	123	0112722
Crimson Tide	1995	7.3	95987	Action,Drama,Thriller	116	0112740
The Crossing Guard	1995	6.3	12266	Drama,Thriller	111	0112744
Crying Freeman	1995	6.5	11199	Action,Crime,Thriller	102	0112750
The Cure	1995	7.7	8796	Drama	97	0112757
Cutthroat Island	1995	5.7	24863	Action,Adventure,Comedy	124	0112760
La Cérémonie	1995	7.6	9224	Crime,Drama,Mystery	112	0112769
Dangerous Minds	1995	6.5	45966	Biography,Drama	99	0112792
Dead Man	1995	7.6	85937	Drama,Fantasy,Western	121	0112817
Dead Man Walking	1995	7.5	84671	Crime,Drama	122	0112818
Dead Presidents	1995	6.9	18559	Action,Crime,Drama	119	0112819
Desperado	1995	7.2	164297	Action,Thriller	104	0112851
Devil in a Blue Dress	1995	6.7	16465	Crime,Drama,Mystery	102	0112857
Die Hard with a Vengeance	1995	7.6	349128	Action,Adventure,Thriller	128	0112864
Dilwale Dulhania Le Jayenge	1995	8.1	59643	Drama,Romance	189	0112870
Don Juan DeMarco	1994	6.7	46444	Comedy,Drama,Romance	97	0112883
The Doom Generation	1995	6.1	13272	Comedy,Crime,Drama	83	0112887
Dracula: Dead and Loving It	1995	5.9	36974	Comedy,Fantasy,Horror	88	0112896
Fallen Angels	1995	7.7	22562	Comedy,Crime,Drama	99	0112913
The Day of the Beast	1995	7.4	16257	Action,Comedy,Crime	103	0112922
Empire Records	1995	6.7	46784	Comedy,Drama,Music	90	0112950
The Englishman Who Went Up a Hill But Came Down a Mountain	1995	6.6	15729	Comedy,Drama	99	0112966
Fair Game	1995	4.3	11622	Action,Crime,Romance	91	0113010
Father of the Bride Part II	1995	6.0	32381	Comedy,Family,Romance	106	0113041
First Knight	1995	6.0	64789	Action,Adventure,Drama	134	0113071
The Flower of My Secret	1995	7.0	9685	Drama	103	0113083
Forget Paris	1995	6.5	10809	Comedy,Romance	101	0113097
Four Rooms	1995	6.8	93569	Comedy	98	0113101
Free Willy 2: The Adventure Home	1995	5.0	16249	Adventure,Drama,Family	95	0113114
French Kiss	1995	6.6	44973	Comedy,Drama,Romance	111	0113117
Friday	1995	7.3	93659	Comedy,Drama	91	0113118
Get Shorty	1995	6.9	72775	Comedy,Crime,Thriller	105	0113161
GoldenEye	1995	7.2	228053	Action,Adventure,Thriller	130	0113189
A Goofy Movie	1995	6.8	42539	Adventure,Animation,Comedy	78	0113198
Grumpier Old Men	1995	6.7	22988	Comedy,Romance	101	0113228
Hackers	1995	6.3	62899	Comedy,Crime,Drama	105	0113243
La Haine	1995	8.1	136661	Crime,Drama	98	0113247
Halloween: The Curse of Michael Myers	1995	4.9	29172	Horror,Thriller	87	0113253
Heat	1995	8.2	541306	Crime,Drama,Thriller	170	0113277
Higher Learning	1995	6.5	17198	Crime,Drama,Romance	127	0113305
Home for the Holidays	1995	6.6	11333	Comedy,Drama,Romance	103	0113321
Rumble in the Bronx	1995	6.7	36883	Action,Comedy,Crime	104	0113326
How to Make an American Quilt	1995	6.3	10247	Comedy,Drama,Romance	117	0113347
In the Mouth of Madness	1994	7.2	56602	Drama,Horror,Mystery	95	0113409
The Indian in the Cupboard	1995	6.0	24728	Drama,Family,Fantasy	96	0113419
It Takes Two	1995	5.9	19189	Comedy,Family,Romance	101	0113442
Jade	1995	5.3	10856	Crime,Drama,Thriller	95	0113451
Johnny Mnemonic	1995	5.7	63858	Action,Drama,Sci-Fi	96	0113481
Judge Dredd	1995	5.6	105980	Action,Crime,Sci-Fi	96	0113492
Jumanji	1995	7.0	285150	Adventure,Comedy,Family	104	0113497
Just Cause	1995	6.4	23225	Action,Crime,Drama	102	0113501
Karan Arjun	1995	6.8	11972	Action,Comedy,Fantasy	175	0113526
Kicking and Screaming	1995	6.9	9913	Comedy,Drama,Romance	96	0113537
Kids	1995	7.1	69625	Drama	91	0113540
Kiss of Death	1995	5.9	16222	Action,Crime,Thriller	101	0113552
Ghost in the Shell	1995	8.0	120063	Action,Animation,Crime	83	0113568
The Last Supper	1995	6.7	13677	Comedy,Crime,Drama	92	0113613
Leaving Las Vegas	1995	7.5	109318	Drama,Romance	111	0113627
A Little Princess	1995	7.7	30343	Drama,Family,Fantasy	97	0113670
Living in Oblivion	1995	7.5	15458	Comedy,Drama	90	0113677
Lord of Illusions	1995	6.1	13830	Horror,Mystery,Thriller	109	0113690
Mallrats	1995	7.1	111626	Comedy,Romance	94	0113749
Memories	1995	7.6	14402	Animation,Comedy,Fantasy	113	0113799
Mighty Aphrodite	1995	7.0	36500	Comedy,Fantasy,Romance	95	0113819
